textid,anger,disgust,fear,joy,sad,surprise
1,0.05917017262267193,0.09407162651761532,0.09976665663518512,0.16915754893386467,0.13688381954048467,0.44095017575017825
2,0.08327433374949994,0.07160605580079547,0.18693557986939782,0.23560724781875603,0.18383281148640446,0.23874397127514638
3,0.06162484620571196,0.03759222288162939,0.12382231966647218,0.31814400885398125,0.19390791440820593,0.2649086879839993
4,0.08943152219539399,0.0769925039199501,0.1348586818804475,0.274512460697425,0.16222251515282027,0.2619823161539631
5,0.09316902368603595,0.060824351516944555,0.09279200565849854,0.23028906415869105,0.1866196241713894,0.3363059308084405
6,0.09722504704718718,0.07884439684180683,0.24299106203027623,0.053799713122247475,0.3509134085709494,0.17622637238753291
7,4.116391395703455e-10,2.8225507233812777e-10,0.0926000004050232,0.4443999990612454,1.06908080071101e-09,0.46299999877075654
8,0.07820581047605123,0.032354460407703074,0.31977030625151476,0.12161793890923521,0.29996792324731136,0.1480835607081843
9,0.008734118070491141,0.12801588021156904,0.010913693136893075,0.13935193722517236,0.015720733658033198,0.6972636376978412
10,0.0817078778231944,0.10368236954592644,0.21596820515180803,0.19554732605886568,0.20549303646836242,0.19760118495184284
11,0.09460036438711603,0.03806927854141908,0.17322561660855537,0.3513646282609873,0.11820905814502805,0.22453105405689414
12,0.14030817796601458,0.041862840139800545,0.19347853846547738,0.2373378972979972,0.12695819317121096,0.2600543529594993
13,0.1559442383559324,0.07000432538322778,0.22620587722824054,0.21968821502643568,0.1231907039559568,0.20496664005020673
14,0.13435782025687468,0.05658762546392201,0.12964330128909715,0.18802699605988718,0.21792182308331864,0.2734624338469002
15,0.16323688679461718,0.1584509166763073,0.35305454571830935,0.0836397315887713,0.16817159918178204,0.07344632004021279
16,0.15433111154302795,0.10657812257283297,0.4482096109315145,0.07005991702385984,0.1396286372506712,0.08119260067809347
17,0.07183716120331965,0.05447249085598281,0.13835821143439994,0.3744610519618684,0.13529624377211497,0.22557484077231424
18,0.12042242369931642,0.031073533991176433,0.17047510479068526,0.14689817410671585,0.22053801385275246,0.31059274955935356
19,0.07244557312312944,0.03776499353522854,0.1524371862364164,0.27713076492300404,0.1778312747854271,0.2823902073967947
20,0.08246361221128594,0.06696591635351211,0.19268764875394703,0.21591707560092696,0.2118590046503711,0.23010674242995685
21,0.04368114466793682,0.021643233567696204,0.06584911719151453,0.5840445441116822,0.07575859155959208,0.20902336890157827
22,0.08410392505091727,0.061673762379344854,0.06860437503237533,0.3112849549348512,0.13156196141712942,0.3427710211853821
23,0.06741258934351399,0.037794981275630725,0.14811859043640924,0.19958271756400983,0.27890160675962355,0.2681895146208127
24,0.11761176117639052,1.5441514938822702e-12,0.058805880591121226,6.803118763677673e-12,0.1176117611791234,0.7059705970450175
25,0.08177272324376358,0.053246959115446635,0.1336160244810155,0.29767417614707203,0.18968287902463443,0.24400723798806784
26,0.07608811844965657,0.05054930985620967,0.1469618494834739,0.2558423145918539,0.22857789571125406,0.241980511907552
27,0.06327303991575738,0.05092000001084621,0.13001805390913063,0.38769971443444057,0.17474712779464002,0.19334206393518527
28,0.08923990931580426,0.05985261685380291,0.17949399505857333,0.2141507530000016,0.2296328823439983,0.22762984342781956
29,0.10354493457974628,0.06316124526663881,0.17270600048731047,0.24675923540858596,0.1904601369530737,0.22336844730464475
30,0.03474512569987613,0.038298207832991024,0.14753367701423226,0.30829738121047456,0.1386082074682304,0.3325174007741955
