23,1,2,2,1,1,2,0,0,1
36,1,1,5,1,1,2,3,0,1
33,1,3,3,1,1,2,3,0,1
35,3,3,2,1,0,0,3,0,1
25,1,2,4,1,1,2,2,0,1
29,1,3,4,1,0,1,3,0,1
23,2,2,1,1,1,1,1,0,1
19,2,2,1,1,1,1,0,0,1
35,0,1,6,1,1,1,1,1,1
25,2,2,3,1,1,2,1,0,1
40,2,3,6,1,1,0,2,0,1
17,2,3,1,1,1,1,0,0,1
25,1,3,3,1,1,2,2,0,1
24,2,2,1,1,1,2,1,0,1
23,3,3,1,1,1,2,2,0,1
25,1,3,3,1,1,2,1,0,1
30,0,2,4,1,1,2,3,0,1
31,0,0,3,1,1,3,1,1,1
28,2,3,2,1,1,1,2,0,1
30,2,2,3,1,1,2,0,0,1
29,2,3,5,1,1,0,1,0,1
24,0,2,4,1,1,2,2,0,1
26,2,3,2,1,1,0,2,0,1
25,2,2,3,1,1,2,2,0,1
22,3,3,1,1,0,1,3,0,1
19,3,3,1,1,1,1,3,0,1
29,1,2,5,1,1,1,3,0,1
21,2,3,2,1,1,2,2,0,1
41,0,3,9,1,1,1,0,0,1
37,1,3,3,1,1,1,2,0,1
27,3,3,3,1,1,2,3,1,1
26,1,2,2,1,1,1,2,0,1
37,3,3,6,1,0,2,3,0,1
25,2,2,3,1,1,1,0,0,1
32,3,2,3,1,1,1,3,0,1
34,0,3,4,1,1,2,3,1,1
23,3,3,2,1,0,1,3,0,1
28,2,3,2,1,1,2,3,0,1
24,2,3,1,1,1,2,3,0,1
32,1,2,4,1,0,1,1,0,1
22,0,1,3,1,1,2,0,1,1
25,2,2,1,1,1,1,0,0,1
25,1,2,2,1,1,1,3,0,1
38,1,2,3,1,1,1,3,0,1
33,1,1,2,1,1,2,3,0,1
41,3,3,8,1,1,0,3,0,1
22,2,3,1,1,0,0,3,0,1
29,2,2,6,1,1,2,2,0,1
26,2,3,3,1,1,2,2,0,1
28,1,2,3,1,1,2,3,0,1
29,1,3,2,1,1,2,1,0,1
24,2,3,2,1,1,2,2,0,1
29,2,3,3,1,1,2,1,0,1
38,2,3,7,1,1,2,1,0,1
23,2,1,2,1,0,2,1,0,1
20,3,2,1,1,1,2,3,0,1
32,0,3,4,1,1,2,1,0,1
25,1,2,2,1,1,2,0,0,1
26,0,1,3,1,0,2,1,0,1
23,0,1,3,1,1,2,1,1,1
23,3,3,3,1,1,2,2,0,1
28,2,3,5,1,1,1,3,0,1
22,3,3,3,1,1,2,1,0,1
28,1,3,4,1,1,2,3,0,1
24,3,2,3,1,1,2,2,0,1
29,3,3,3,1,0,0,3,0,1
42,3,3,5,1,1,0,3,0,1
27,3,3,2,1,1,2,3,0,1
35,2,3,5,1,1,0,3,0,1
21,2,3,1,1,1,2,1,0,1
21,0,2,1,1,1,2,2,1,1
22,2,3,1,1,1,2,2,0,1
