3003,type_C,15,867,204,2961,219,207,120.0,740.0,1.0,3.0,2.6655078203750278,1
3138,type_D,10,43,2,5583,196,243,187.0,2401.0,1.0,3.0,2.358066454243999,1
2789,type_C,13,574,4,1650,234,213,110.0,1021.0,1.0,3.0,2.0670596847901894,1
2824,type_C,33,336,237,159,29,2260,1.0,0.0,0.0,0.0,2.6987550019435824,1
3264,type_D,11,515,39,1200,239,226,117.0,2206.0,1.0,3.0,2.5136979340872627,1
3182,type_D,25,504,-51,2001,213,250,158.0,1114.0,1.0,3.0,2.4236992228208267,1
3166,type_D,14,91,17,959,205,212,144.0,2076.0,1.0,3.0,2.570589957944391,1
2217,type_A,18,91,20,702,244,205,86.0,1591.0,1.0,3.0,2.612297028248157,0
2993,type_C,20,248,133,926,183,201,154.0,3411.0,1.0,3.0,2.161079063595438,1
3207,type_D,5,68,-2,2413,230,240,144.0,1106.0,1.0,3.0,2.1116854485074676,0
2966,type_C,7,61,3,5600,212,227,154.0,2146.0,1.0,3.0,2.6714110042349004,0
3127,type_D,7,3851,218,225,145,31,1.0,0.0,0.0,0.0,2.5774957514088923,0
2930,type_C,4,307,1973,209,237,164,1006.0,0.0,1.0,0.0,2.585174880353469,0
2959,type_C,19,380,-67,599,186,203,153.0,1074.0,1.0,3.0,2.0422235584087116,0
3304,type_D,13,271,77,4347,238,217,110.0,1293.0,1.0,3.0,2.816672875114282,0
2893,type_C,7,418,35,4148,231,227,131.0,5752.0,1.0,3.0,2.942017957052528,1
3241,type_D,17,599,97,2274,214,202,120.0,2418.0,1.0,3.0,2.2112298800089825,0
2965,type_C,4,2132,209,241,172,1139,1.0,0.0,0.0,0.0,2.5740125325609493,0
2982,type_C,12,362,141,5882,241,221,109.0,4185.0,1.0,3.0,2.381657959480001,1
3008,type_C,9,202,36,4348,238,229,123.0,877.0,1.0,3.0,2.1811291251250355,0
2749,type_C,13,176,-8,1373,201,216,152.0,1347.0,1.0,3.0,2.6628502941548193,1
3127,type_D,7,43,7,2320,203,241,178.0,2088.0,1.0,3.0,2.119802037664466,0
2875,type_C,6,43,2,1701,229,229,135.0,2531.0,1.0,3.0,2.086030768615572,0
2775,type_C,19,405,44,2489,239,240,124.0,2147.0,1.0,3.0,2.522327096828555,0
2857,type_C,8,4992,216,222,144,4445,1.0,0.0,0.0,0.0,2.035120454147128,1
3001,type_C,7,639,91,5729,210,248,176.0,3053.0,1.0,3.0,2.5580679417400587,1
3355,type_D,17,901,238,2759,243,237,118.0,2388.0,1.0,3.0,2.4960839910784984,0
2901,type_C,19,68,13,1290,181,210,167.0,1680.0,1.0,3.0,2.6291413210908767,1
3025,type_C,20,193,5,1361,173,211,176.0,901.0,1.0,3.0,2.609226333745972,1
2400,type_B,16,383,155,1157,247,227,105.0,1167.0,1.0,3.0,2.2164986092717087,0
3097,type_D,25,577,283,1745,184,255,197.0,546.0,1.0,3.0,2.5700477990144233,1
2683,type_C,6,31,-2,1610,233,235,136.0,1441.0,1.0,3.0,2.47262926182485,1
3251,type_D,13,571,43,1543,243,233,118.0,2806.0,1.0,3.0,2.8566187825819602,1
3369,type_D,6,943,166,2907,214,246,170.0,1309.0,1.0,3.0,2.3235986139725435,0
2961,type_C,11,31,6,1187,190,238,188.0,450.0,1.0,3.0,2.8619045246155648,0
3374,type_D,29,760,-93,3557,166,252,211.0,2503.0,1.0,3.0,2.9281810445030985,0
2686,type_C,12,151,7,174,232,216,115.0,2365.0,1.0,3.0,2.7923364642206874,1
3309,type_D,2,96,-5,3813,223,235,150.0,2401.0,1.0,3.0,2.690307749125843,0
2981,type_C,4,660,128,1309,220,232,150.0,2272.0,1.0,3.0,2.7438454303240816,1
2656,type_B,11,310,43,911,225,218,127.0,1040.0,1.0,3.0,2.990959407703371,1
3275,type_D,19,574,47,4556,249,228,101.0,2032.0,1.0,3.0,2.9262742187106565,0
3181,type_D,15,422,33,2604,178,232,195.0,269.0,1.0,3.0,2.8390165881666967,0
3267,type_D,19,340,64,4151,165,237,211.0,1623.0,1.0,3.0,2.8449584808883155,0
3250,type_D,20,176,42,1979,201,196,128.0,2016.0,1.0,3.0,2.4363820423797153,1
